rec_index,hist_index,match_type,distance,depth_15,depth_22,growth,ai_conf
89,1615.0,MATCHED,594.44,10.0,11.0,1.0,0.972100019454956
90,1218.0,MATCHED,595.43,11.0,13.0,2.0,0.963699996471405
91,2201.0,MATCHED,607.72,10.0,11.0,1.0,0.8639000058174133
92,,NEW,608.43,,17.0,,0.0
94,,NEW,609.06,,13.0,,0.0
95,,NEW,609.17,,13.0,,0.0
96,2197.0,MATCHED,609.36,17.0,18.0,1.0,0.8499000072479248
97,,NEW,610.06,,21.0,,0.0
99,3060.0,MATCHED,639.08,32.0,33.0,1.0,0.9472000002861023
100,1962.0,MATCHED,639.09,18.0,17.0,-1.0,0.9577999711036682
101,913.0,MATCHED,639.18,23.0,25.0,2.0,0.9391000270843506
108,2541.0,MATCHED,657.12,38.0,39.0,1.0,0.9771999716758728
110,,NEW,658.33,,23.0,,0.0
111,,NEW,658.58,,17.0,,0.0
112,,NEW,671.04,,17.0,,0.0
113,,NEW,671.36,,26.0,,0.0
117,636.0,MATCHED,681.73,18.0,24.0,6.0,0.9423999786376953
127,,NEW,789.04,,12.0,,0.0
128,,NEW,792.4,,14.0,,0.0
129,,NEW,795.64,,13.0,,0.0
130,,NEW,797.05,,10.0,,0.0
131,,NEW,802.42,,12.0,,0.0
132,,NEW,807.82,,16.0,,0.0
133,,NEW,814.35,,12.0,,0.0
134,,NEW,824.36,,10.0,,0.0
138,,NEW,932.08,,11.0,,0.0
141,,NEW,958.52,,23.0,,0.0
143,,NEW,960.0,,28.0,,0.0
152,,NEW,1191.79,,13.0,,0.0
153,2282.0,MATCHED,1193.35,13.0,14.0,1.0,0.8443999886512756
154,3606.0,MATCHED,1194.16,10.0,11.0,1.0,0.8551999926567078
155,1016.0,MATCHED,1195.89,11.0,13.0,2.0,0.8834999799728394
156,883.0,MATCHED,1196.18,14.0,14.0,0.0,0.9886999726295471
157,2718.0,MATCHED,1196.41,10.0,11.0,1.0,0.9253000020980835
158,3200.0,MATCHED,1197.34,11.0,11.0,0.0,0.9501000046730042
159,,NEW,1197.89,,12.0,,0.0
160,,NEW,1200.47,,11.0,,0.0
161,958.0,MATCHED,1200.61,11.0,12.0,1.0,0.8709999918937683
162,838.0,MATCHED,1201.34,10.0,11.0,1.0,0.9146000146865845
163,,NEW,1202.02,,18.0,,0.0
165,2127.0,MATCHED,1204.6,11.0,13.0,2.0,0.9799000024795532
166,2125.0,MATCHED,1207.49,11.0,12.0,1.0,0.9890000224113464
167,,NEW,1207.73,,18.0,,0.0
168,713.0,MATCHED,1208.25,13.0,14.0,1.0,0.9663000106811523
169,,NEW,1208.71,,14.0,,0.0
170,1306.0,MATCHED,1209.77,15.0,18.0,3.0,0.9136000275611877
171,903.0,MATCHED,1210.25,10.0,12.0,2.0,0.9764000177383423
172,,NEW,1210.95,,13.0,,0.0
173,,NEW,1212.15,,18.0,,0.0
174,,NEW,1212.89,,14.0,,0.0
175,,NEW,1213.57,,13.0,,0.0
176,,NEW,1214.63,,10.0,,0.0
177,,NEW,1217.6,,11.0,,0.0
178,1737.0,MATCHED,1218.25,13.0,15.0,2.0,0.933899998664856
179,938.0,MATCHED,1218.77,13.0,16.0,3.0,0.8082000017166138
180,,NEW,1219.62,,15.0,,0.0
181,936.0,MATCHED,1220.55,11.0,12.0,1.0,0.9853000044822693
182,2890.0,MATCHED,1221.82,10.0,11.0,1.0,0.9944999814033508
183,,NEW,1222.12,,14.0,,0.0
184,,NEW,1223.14,,13.0,,0.0
185,2827.0,MATCHED,1224.6,12.0,14.0,2.0,0.9616000056266785
186,987.0,MATCHED,1225.25,10.0,11.0,1.0,0.8241999745368958
187,708.0,MATCHED,1225.92,16.0,19.0,3.0,0.9125999808311462
188,1004.0,MATCHED,1227.6,11.0,11.0,0.0,0.8955000042915344
189,,NEW,1228.99,,11.0,,0.0
190,2067.0,MATCHED,1241.36,11.0,12.0,1.0,0.9639000296592712
191,,NEW,1242.34,,15.0,,0.0
200,,NEW,1459.43,,13.0,,0.0
201,,NEW,1463.14,,18.0,,0.0
202,,NEW,1471.15,,15.0,,0.0
208,2093.0,MATCHED,1678.93,16.0,18.0,2.0,0.8686000108718872
209,,NEW,1679.63,,18.0,,0.0
211,,NEW,1680.21,,29.0,,0.0
212,2789.0,MATCHED,1680.71,21.0,22.0,1.0,0.9887999892234802
213,2340.0,MATCHED,1680.78,33.0,30.0,-3.0,0.9713000059127808
214,907.0,MATCHED,1680.89,20.0,22.0,2.0,0.8118000030517578
215,2805.0,MATCHED,1681.18,21.0,22.0,1.0,0.942300021648407
228,,NEW,2103.64,,25.0,,0.0
229,2792.0,MATCHED,2104.94,18.0,19.0,1.0,0.8804000020027161
230,1654.0,MATCHED,2105.12,19.0,19.0,0.0,0.9710000157356262
231,1651.0,MATCHED,2105.37,10.0,13.0,3.0,0.9036999940872192
232,1656.0,MATCHED,2106.15,22.0,23.0,1.0,0.9811999797821045
234,,NEW,2111.27,,19.0,,0.0
235,,NEW,2113.62,,26.0,,0.0
236,3630.0,MATCHED,2116.43,11.0,11.0,0.0,0.8593000173568726
237,,NEW,2118.22,,19.0,,0.0
238,,NEW,2118.93,,19.0,,0.0
239,,NEW,2120.71,,21.0,,0.0
240,1696.0,MATCHED,2130.22,10.0,13.0,3.0,0.9222999811172485
241,,NEW,2130.26,,23.0,,0.0
242,,NEW,2130.87,,21.0,,0.0
243,,NEW,2131.49,,30.0,,0.0
244,1699.0,MATCHED,2132.19,39.0,28.0,-11.0,0.9147999882698059
245,3175.0,MATCHED,2133.85,43.0,35.0,-8.0,0.9700000286102295
246,1655.0,MATCHED,2142.0,14.0,17.0,3.0,0.9293000102043152
247,,NEW,2142.5,,18.0,,0.0
248,3423.0,MATCHED,2143.24,57.0,42.0,-15.0,0.9681000113487244
249,,NEW,2144.61,,25.0,,0.0
251,,NEW,2150.93,,11.0,,0.0
252,1553.0,MATCHED,2153.22,33.0,28.0,-5.0,0.9580000042915344
253,2954.0,MATCHED,2155.05,20.0,23.0,3.0,0.8762000203132629
254,2427.0,MATCHED,2155.98,10.0,14.0,4.0,0.8409000039100647
255,,NEW,2156.25,,14.0,,0.0
256,1645.0,MATCHED,2159.68,14.0,15.0,1.0,0.975600004196167
257,478.0,MATCHED,2159.98,14.0,16.0,2.0,0.8361999988555908
258,2755.0,MATCHED,2162.29,27.0,27.0,0.0,0.9437999725341797
259,1552.0,MATCHED,2165.87,41.0,42.0,1.0,0.9257000088691711
260,2336.0,MATCHED,2174.61,11.0,14.0,3.0,0.8080000281333923
261,1697.0,MATCHED,2175.75,13.0,14.0,1.0,0.9261000156402588
262,,NEW,2180.3,,19.0,,0.0
263,,NEW,2183.59,,20.0,,0.0
265,2953.0,MATCHED,2188.77,31.0,32.0,1.0,0.984000027179718
266,2682.0,MATCHED,2195.65,26.0,26.0,0.0,0.9851999878883362
267,3317.0,MATCHED,2198.68,24.0,24.0,0.0,0.9814000129699707
268,3005.0,MATCHED,2210.8,15.0,18.0,3.0,0.9043999910354614
269,2672.0,MATCHED,2213.69,10.0,11.0,1.0,0.8776999711990356
270,1982.0,MATCHED,2215.75,21.0,22.0,1.0,0.9592999815940857
271,,NEW,2222.26,,21.0,,0.0
272,3273.0,MATCHED,2222.92,12.0,14.0,2.0,0.96670001745224
273,2842.0,MATCHED,2223.81,21.0,24.0,3.0,0.8986999988555908
274,1731.0,MATCHED,2224.34,15.0,18.0,3.0,0.9086999893188477
276,691.0,MATCHED,2228.32,12.0,14.0,2.0,0.8176000118255615
277,,NEW,2228.4,,18.0,,0.0
278,1730.0,MATCHED,2233.73,21.0,24.0,3.0,0.9017000198364258
279,2979.0,MATCHED,2235.79,22.0,26.0,4.0,0.8804000020027161
280,940.0,MATCHED,2240.08,38.0,41.0,3.0,0.9850000143051147
281,1314.0,MATCHED,2240.35,33.0,32.0,-1.0,0.9811000227928162
282,2994.0,MATCHED,2241.82,25.0,30.0,5.0,0.9217000007629395
283,1728.0,MATCHED,2242.29,31.0,32.0,1.0,0.9897000193595886
284,2013.0,MATCHED,2243.25,47.0,37.0,-10.0,0.9290000200271606
285,1718.0,MATCHED,2246.11,56.0,52.0,-4.0,0.982699990272522
286,,NEW,2255.7,,22.0,,0.0
287,3198.0,MATCHED,2260.15,19.0,22.0,3.0,0.8125
288,2850.0,MATCHED,2262.0,23.0,26.0,3.0,0.9592999815940857
289,,NEW,2264.83,,24.0,,0.0
291,,NEW,2270.39,,16.0,,0.0
292,2126.0,MATCHED,2271.26,25.0,27.0,2.0,0.9684000015258789
293,,NEW,2271.53,,19.0,,0.0
294,2092.0,MATCHED,2271.94,31.0,29.0,-2.0,0.9779999852180481
295,2747.0,MATCHED,2272.55,17.0,19.0,2.0,0.8715999722480774
296,,NEW,2276.97,,11.0,,0.0
297,1576.0,MATCHED,2278.13,33.0,34.0,1.0,0.9912999868392944
298,,NEW,2279.08,,19.0,,0.0
299,,NEW,2281.19,,20.0,,0.0
300,2722.0,MATCHED,2284.58,14.0,16.0,2.0,0.8690000176429749
301,655.0,MATCHED,2286.74,19.0,21.0,2.0,0.8324000239372253
302,,NEW,2295.11,,12.0,,0.0
303,,NEW,2296.85,,14.0,,0.0
304,2741.0,MATCHED,2297.98,28.0,29.0,1.0,0.9559000134468079
305,2725.0,MATCHED,2302.69,11.0,13.0,2.0,0.9552000164985657
306,2814.0,MATCHED,2303.32,20.0,21.0,1.0,0.9595000147819519
307,,NEW,2304.52,,16.0,,0.0
308,2139.0,MATCHED,2305.33,17.0,19.0,2.0,0.8827000260353088
310,,NEW,2312.04,,20.0,,0.0
311,957.0,MATCHED,2316.4,34.0,35.0,1.0,0.9764000177383423
312,,NEW,2317.05,,28.0,,0.0
319,709.0,MATCHED,2381.58,10.0,11.0,1.0,0.9020000100135803
320,2203.0,MATCHED,2382.21,11.0,13.0,2.0,0.933899998664856
321,,NEW,2384.49,,12.0,,0.0
322,,NEW,2384.69,,13.0,,0.0
323,,NEW,2386.45,,10.0,,0.0
324,,NEW,2389.98,,11.0,,0.0
325,728.0,MATCHED,2392.89,10.0,11.0,1.0,0.9189000129699707
326,2217.0,MATCHED,2395.13,10.0,11.0,1.0,0.9642999768257141
366,,NEW,3357.57,,22.0,,0.0
367,2748.0,MATCHED,3357.83,33.0,30.0,-3.0,0.974399983882904
370,1426.0,MATCHED,3415.24,21.0,22.0,1.0,0.8251000046730042
371,3207.0,MATCHED,3416.76,26.0,26.0,0.0,0.8763999938964844
372,,NEW,3419.11,,20.0,,0.0
374,3334.0,MATCHED,3438.0,17.0,18.0,1.0,0.9575999975204468
375,,NEW,3438.04,,19.0,,0.0
376,3193.0,MATCHED,3438.22,23.0,22.0,-1.0,0.9902999997138977
377,,NEW,3438.26,,18.0,,0.0
378,,NEW,3438.34,,19.0,,0.0
379,,NEW,3438.7,,23.0,,0.0
380,,NEW,3438.75,,17.0,,0.0
383,,NEW,3493.47,,13.0,,0.0
384,,NEW,3503.86,,13.0,,0.0
398,,NEW,3927.13,,12.0,,0.0
399,,NEW,3934.74,,13.0,,0.0
405,,NEW,4092.57,,22.0,,0.0
406,,NEW,4093.02,,25.0,,0.0
427,928.0,MATCHED,4544.78,23.0,22.0,-1.0,0.8425999879837036
428,3183.0,MATCHED,4544.89,28.0,25.0,-3.0,0.9602000117301941
429,1323.0,MATCHED,4544.93,22.0,22.0,0.0,0.953499972820282
430,2221.0,MATCHED,4544.97,20.0,22.0,2.0,0.9409000277519226
432,,NEW,4546.64,,11.0,,0.0
433,2252.0,MATCHED,4546.73,29.0,30.0,1.0,0.9745000004768372
434,2091.0,MATCHED,4568.37,15.0,16.0,1.0,0.8389000296592712
437,1758.0,MATCHED,4622.79,34.0,36.0,2.0,0.8939999938011169
438,,NEW,4625.11,,12.0,,0.0
439,,NEW,4625.14,,20.0,,0.0
451,,NEW,4917.36,,16.0,,0.0
452,,NEW,4919.99,,14.0,,0.0
453,,NEW,4921.52,,14.0,,0.0
454,,NEW,4933.46,,13.0,,0.0
457,,NEW,4985.94,,16.0,,0.0
458,,NEW,4989.69,,14.0,,0.0
459,,NEW,4999.33,,12.0,,0.0
461,2671.0,MATCHED,5050.47,17.0,19.0,2.0,0.8844000101089478
462,,NEW,5051.12,,12.0,,0.0
471,1577.0,MATCHED,5310.47,35.0,33.0,-2.0,0.95660001039505
472,,NEW,5311.14,,20.0,,0.0
473,,NEW,5312.02,,21.0,,0.0
474,946.0,MATCHED,5315.32,11.0,13.0,2.0,0.942300021648407
475,2542.0,MATCHED,5315.87,13.0,16.0,3.0,0.8748000264167786
476,2962.0,MATCHED,5316.19,11.0,13.0,2.0,0.8932999968528748
478,,NEW,5322.31,,11.0,,0.0
479,2935.0,MATCHED,5324.55,23.0,25.0,2.0,0.8248000144958496
480,2677.0,MATCHED,5325.15,14.0,17.0,3.0,0.8497999906539917
481,1043.0,MATCHED,5325.47,37.0,37.0,0.0,0.8108000159263611
482,1304.0,MATCHED,5326.34,44.0,43.0,-1.0,0.9751999974250793
483,,NEW,5326.81,,34.0,,0.0
484,2997.0,MATCHED,5327.19,20.0,23.0,3.0,0.8321999907493591
485,,NEW,5327.74,,22.0,,0.0
486,,NEW,5328.5,,10.0,,0.0
487,,NEW,5329.27,,16.0,,0.0
488,,NEW,5330.58,,27.0,,0.0
489,2933.0,MATCHED,5331.26,17.0,20.0,3.0,0.8555999994277954
490,2806.0,MATCHED,5331.66,29.0,27.0,-2.0,0.8585000038146973
491,1735.0,MATCHED,5332.67,14.0,17.0,3.0,0.838699996471405
492,2936.0,MATCHED,5333.02,20.0,23.0,3.0,0.8907999992370605
493,,NEW,5333.35,,35.0,,0.0
494,,NEW,5333.76,,19.0,,0.0
495,,NEW,5334.13,,35.0,,0.0
496,1736.0,MATCHED,5334.99,27.0,28.0,1.0,0.965399980545044
497,843.0,MATCHED,5335.32,34.0,34.0,0.0,0.9868999719619751
498,2564.0,MATCHED,5337.11,16.0,18.0,2.0,0.8021000027656555
499,,NEW,5340.78,,16.0,,0.0
500,2434.0,MATCHED,5341.23,23.0,24.0,1.0,0.8812999725341797
501,2951.0,MATCHED,5341.74,28.0,26.0,-2.0,0.8831999897956848
502,,NEW,5342.35,,20.0,,0.0
503,2104.0,MATCHED,5342.56,15.0,18.0,3.0,0.8672999739646912
505,2893.0,MATCHED,5359.57,22.0,25.0,3.0,0.8938999772071838
506,,NEW,5359.92,,15.0,,0.0
507,,NEW,5360.47,,11.0,,0.0
508,1556.0,MATCHED,5360.55,23.0,25.0,2.0,0.9822999835014343
510,1648.0,MATCHED,5362.58,14.0,18.0,4.0,0.946399986743927
511,1629.0,MATCHED,5362.6,12.0,13.0,1.0,0.9567000269889832
512,2612.0,MATCHED,5362.72,22.0,21.0,-1.0,0.9925000071525574
513,,NEW,5364.57,,25.0,,0.0
514,,NEW,5364.63,,16.0,,0.0
515,3496.0,MATCHED,5367.97,15.0,18.0,3.0,0.8826000094413757
517,598.0,MATCHED,5378.74,20.0,24.0,4.0,0.8414999842643738
518,1396.0,MATCHED,5379.26,18.0,19.0,1.0,0.8659999966621399
519,,NEW,5379.75,,47.0,,0.0
520,,NEW,5380.43,,49.0,,0.0
521,,NEW,5381.12,,25.0,,0.0
522,2011.0,MATCHED,5382.89,13.0,15.0,2.0,0.9294999837875366
523,,NEW,5383.08,,17.0,,0.0
524,353.0,MATCHED,5383.14,33.0,28.0,-5.0,0.8689000010490417
525,,NEW,5383.76,,49.0,,0.0
526,2539.0,MATCHED,5383.98,17.0,19.0,2.0,0.8722000122070312
530,2436.0,MATCHED,5440.76,36.0,41.0,5.0,0.9767000079154968
531,355.0,MATCHED,5441.12,12.0,14.0,2.0,0.8752999901771545
533,1026.0,MATCHED,5442.56,14.0,16.0,2.0,0.814300000667572
534,570.0,MATCHED,5442.72,21.0,21.0,0.0,0.9672999978065491
536,,NEW,5465.39,,21.0,,0.0
537,,NEW,5470.44,,12.0,,0.0
538,,NEW,5475.51,,13.0,,0.0
546,2110.0,MATCHED,5624.63,19.0,20.0,1.0,0.8690000176429749
550,,NEW,5748.59,,13.0,,0.0
551,,NEW,5751.67,,12.0,,0.0
555,,NEW,5849.85,,19.0,,0.0
556,1620.0,MATCHED,5849.99,48.0,40.0,-8.0,0.9462000131607056
587,3324.0,MATCHED,6493.96,14.0,14.0,0.0,0.942300021648407
588,1646.0,MATCHED,6495.08,10.0,13.0,3.0,0.9043999910354614
589,,NEW,6495.5,,10.0,,0.0
594,,NEW,6549.98,,13.0,,0.0
595,,NEW,6550.66,,13.0,,0.0
596,2096.0,MATCHED,6552.03,13.0,16.0,3.0,0.8040000200271606
597,,NEW,6567.82,,26.0,,0.0
598,,NEW,6567.84,,24.0,,0.0
599,3111.0,MATCHED,6568.86,12.0,17.0,5.0,0.9086999893188477
600,3110.0,MATCHED,6569.86,11.0,13.0,2.0,0.8792999982833862
601,,NEW,6571.2,,13.0,,0.0
602,,NEW,6573.47,,14.0,,0.0
603,,NEW,6576.1,,12.0,,0.0
604,,NEW,6577.84,,16.0,,0.0
605,,NEW,6588.26,,10.0,,0.0
609,,NEW,6689.99,,10.0,,0.0
610,,NEW,6692.5,,12.0,,0.0
611,3040.0,MATCHED,6700.14,17.0,20.0,3.0,0.8633000254631042
615,,NEW,6806.66,,16.0,,0.0
616,,NEW,6807.5,,12.0,,0.0
621,,NEW,6901.37,,10.0,,0.0
622,2313.0,MATCHED,6904.59,13.0,13.0,0.0,0.8312000036239624
623,,NEW,6906.52,,12.0,,0.0
624,,NEW,6920.42,,11.0,,0.0
629,541.0,MATCHED,7002.22,19.0,22.0,3.0,0.8719000220298767
630,,NEW,7002.87,,12.0,,0.0
631,1619.0,MATCHED,7002.98,23.0,24.0,1.0,0.9668999910354614
633,3007.0,MATCHED,7004.68,18.0,21.0,3.0,0.8828999996185303
659,,NEW,7574.22,,12.0,,0.0
662,1029.0,MATCHED,7637.66,17.0,18.0,1.0,0.9182999730110168
663,3124.0,MATCHED,7637.92,15.0,16.0,1.0,0.8812999725341797
664,3161.0,MATCHED,7638.02,17.0,19.0,2.0,0.8337000012397766
665,,NEW,7638.43,,25.0,,0.0
667,,NEW,7639.59,,25.0,,0.0
668,,NEW,7652.34,,30.0,,0.0
669,3067.0,MATCHED,7653.66,21.0,23.0,2.0,0.9128999710083008
670,2731.0,MATCHED,7658.76,19.0,21.0,2.0,0.8758000135421753
671,2141.0,MATCHED,7659.54,21.0,25.0,4.0,0.9244999885559082
672,2577.0,MATCHED,7660.03,24.0,26.0,2.0,0.904699981212616
673,1427.0,MATCHED,7661.24,30.0,28.0,-2.0,0.9581000208854675
674,2837.0,MATCHED,7661.78,22.0,24.0,2.0,0.9524000287055969
675,3210.0,MATCHED,7662.34,23.0,24.0,1.0,0.9469000101089478
676,,NEW,7662.68,,33.0,,0.0
677,1616.0,MATCHED,7662.72,28.0,28.0,0.0,0.9124000072479248
678,2783.0,MATCHED,7663.11,47.0,47.0,0.0,0.9667999744415283
679,620.0,MATCHED,7663.68,38.0,41.0,3.0,0.9620000123977661
680,2581.0,MATCHED,7664.13,44.0,50.0,6.0,0.987500011920929
681,,NEW,7664.62,,28.0,,0.0
682,2176.0,MATCHED,7664.76,53.0,55.0,2.0,0.9950000047683716
683,606.0,MATCHED,7665.01,41.0,47.0,6.0,0.9933000206947327
684,,NEW,7665.13,,37.0,,0.0
685,2266.0,MATCHED,7665.54,36.0,42.0,6.0,0.9915000200271606
686,3608.0,MATCHED,7665.69,24.0,27.0,3.0,0.9585000276565552
687,2533.0,MATCHED,7666.08,39.0,41.0,2.0,0.9846000075340271
688,3633.0,MATCHED,7666.5,26.0,27.0,1.0,0.9621999859809875
689,3036.0,MATCHED,7666.62,37.0,39.0,2.0,0.9846000075340271
690,2267.0,MATCHED,7667.09,39.0,44.0,5.0,0.996399998664856
691,1317.0,MATCHED,7667.93,67.0,57.0,-10.0,0.9940000176429749
692,1724.0,MATCHED,7668.55,34.0,37.0,3.0,0.8235999941825867
694,2335.0,MATCHED,7669.31,37.0,36.0,-1.0,0.8618999719619751
695,2833.0,MATCHED,7669.97,23.0,24.0,1.0,0.9545000195503235
696,,NEW,7675.87,,31.0,,0.0
697,,NEW,7677.7,,20.0,,0.0
704,,NEW,7808.83,,12.0,,0.0
705,,NEW,7808.99,,19.0,,0.0
706,,NEW,7809.08,,16.0,,0.0
709,1024.0,MATCHED,7853.81,13.0,15.0,2.0,0.9200000166893005
710,2404.0,MATCHED,7854.65,23.0,25.0,2.0,0.9247999787330627
711,,NEW,7873.11,,18.0,,0.0
712,,NEW,7875.63,,10.0,,0.0
713,,NEW,7876.49,,16.0,,0.0
714,,NEW,7881.35,,13.0,,0.0
741,1385.0,MATCHED,8678.3,14.0,16.0,2.0,0.8935999870300293
742,2184.0,MATCHED,8678.36,19.0,23.0,4.0,0.8253999948501587
743,,NEW,8678.37,,16.0,,0.0
745,,NEW,8679.98,,17.0,,0.0
746,3033.0,MATCHED,8680.07,29.0,26.0,-3.0,0.8454999923706055
748,,NEW,8757.22,,18.0,,0.0
749,,NEW,8757.27,,22.0,,0.0
775,,NEW,9213.51,,12.0,,0.0
776,,NEW,9216.22,,12.0,,0.0
777,,NEW,9218.08,,13.0,,0.0
790,,NEW,9476.3,,20.0,,0.0
791,2880.0,MATCHED,9476.59,15.0,16.0,1.0,0.9417999982833862
792,2242.0,MATCHED,9477.36,18.0,18.0,0.0,0.993399977684021
793,,NEW,9477.46,,23.0,,0.0
794,,NEW,9478.0,,19.0,,0.0
795,2157.0,MATCHED,9478.05,12.0,14.0,2.0,0.9405999779701233
796,,NEW,9478.52,,19.0,,0.0
797,,NEW,9478.54,,19.0,,0.0
798,3350.0,MATCHED,9478.68,19.0,20.0,1.0,0.9684000015258789
799,,NEW,9479.57,,21.0,,0.0
800,,NEW,9480.26,,26.0,,0.0
801,1023.0,MATCHED,9480.94,21.0,21.0,0.0,0.9783999919891357
802,1319.0,MATCHED,9481.31,21.0,23.0,2.0,0.8779000043869019
804,,NEW,9481.79,,18.0,,0.0
805,,NEW,9482.26,,25.0,,0.0
806,,NEW,9483.17,,25.0,,0.0
807,1312.0,MATCHED,9483.84,29.0,29.0,0.0,0.9485999941825867
808,2836.0,MATCHED,9484.45,28.0,28.0,0.0,0.9846000075340271
809,2780.0,MATCHED,9485.17,27.0,29.0,2.0,0.963100016117096
810,3357.0,MATCHED,9485.56,59.0,50.0,-9.0,0.9753000140190125
811,1292.0,MATCHED,9485.72,35.0,36.0,1.0,0.9603000283241272
848,333.0,MATCHED,10147.33,20.0,22.0,2.0,0.8277000188827515
849,2916.0,MATCHED,10147.46,28.0,24.0,-4.0,0.8790000081062317
851,,NEW,10153.52,,14.0,,0.0
852,,NEW,10160.41,,13.0,,0.0
854,1788.0,MATCHED,10177.56,14.0,17.0,3.0,0.9621000289916992
855,,NEW,10178.05,,16.0,,0.0
856,,NEW,10181.12,,13.0,,0.0
857,,NEW,10182.52,,17.0,,0.0
860,2889.0,MATCHED,10241.49,22.0,23.0,1.0,0.9496999979019165
861,,NEW,10241.61,,17.0,,0.0
862,814.0,MATCHED,10242.08,16.0,18.0,2.0,0.853600025177002
863,,NEW,10242.49,,14.0,,0.0
870,,NEW,10426.08,,15.0,,0.0
871,,NEW,10427.72,,16.0,,0.0
872,,NEW,10428.88,,11.0,,0.0
873,,NEW,10444.73,,13.0,,0.0
874,,NEW,10460.84,,11.0,,0.0
875,,NEW,10462.46,,14.0,,0.0
876,,NEW,10463.15,,13.0,,0.0
877,,NEW,10463.4,,12.0,,0.0
882,,NEW,10543.31,,18.0,,0.0
884,3275.0,MATCHED,10545.08,13.0,15.0,2.0,0.8658000230789185
893,3049.0,MATCHED,10622.36,20.0,24.0,4.0,0.8720999956130981
894,,NEW,10623.8,,23.0,,0.0
895,1033.0,MATCHED,10623.96,29.0,27.0,-2.0,0.9473000168800354
902,,NEW,10668.83,,11.0,,0.0
906,2440.0,MATCHED,10784.62,24.0,25.0,1.0,0.961899995803833
907,,NEW,10784.83,,15.0,,0.0
909,,NEW,10813.59,,10.0,,0.0
910,,NEW,10818.54,,10.0,,0.0
912,,NEW,10858.2,,12.0,,0.0
913,,NEW,10859.43,,12.0,,0.0
928,,NEW,11324.53,,14.0,,0.0
930,,NEW,11337.09,,11.0,,0.0
936,,NEW,11486.48,,13.0,,0.0
937,,NEW,11500.39,,18.0,,0.0
938,,NEW,11505.65,,11.0,,0.0
939,2298.0,MATCHED,11512.9,12.0,13.0,1.0,0.8858000040054321
940,,NEW,11514.63,,13.0,,0.0
948,,NEW,11726.32,,12.0,,0.0
949,,NEW,11728.1,,11.0,,0.0
951,,NEW,11743.81,,13.0,,0.0
953,,NEW,11780.04,,12.0,,0.0
959,,NEW,11945.87,,13.0,,0.0
970,,NEW,12141.32,,11.0,,0.0
971,2465.0,MATCHED,12142.31,10.0,11.0,1.0,0.8539000153541565
972,,NEW,12146.41,,10.0,,0.0
973,,NEW,12162.67,,16.0,,0.0
980,1009.0,MATCHED,12264.18,12.0,15.0,3.0,0.873199999332428
981,,NEW,12286.87,,12.0,,0.0
988,,NEW,12412.49,,12.0,,0.0
989,,NEW,12416.39,,12.0,,0.0
990,,NEW,12417.64,,13.0,,0.0
991,,NEW,12421.26,,13.0,,0.0
992,,NEW,12426.78,,13.0,,0.0
993,,NEW,12429.08,,16.0,,0.0
994,,NEW,12431.69,,12.0,,0.0
995,,NEW,12434.4,,13.0,,0.0
997,,NEW,12447.86,,12.0,,0.0
