distance,clock,feature_type,depth_2022,length,width,survey_year,depth_2015,depth_2007
671.037,04:55:00,Metal Loss,17.0,8.1,6.9,2022,,
671.365,08:56:00,Metal Loss,26.0,12.1,10.2,2022,,15.0
681.726,03:10:00,Metal Loss,24.0,3.3,6.5,2022,,25.0
789.035,04:51:00,Metal Loss,12.0,18.5,4.1,2022,,
792.402,04:41:00,Metal Loss,14.0,22.9,4.2,2022,,
795.64,04:58:00,Metal Loss,13.0,13.5,4.1,2022,,
797.054,04:54:00,Metal Loss,10.0,10.4,5.0,2022,,
802.421,04:47:00,Metal Loss,12.0,14.0,1.1,2022,,
807.822,04:48:00,Metal Loss,16.0,7.0,1.8,2022,,
814.35,04:51:00,Metal Loss,12.0,10.2,1.3,2022,,
824.36,05:02:00,Metal Loss,10.0,20.0,1.6,2022,,
932.083,06:07:00,Metal Loss,11.0,8.2,2.4,2022,,
958.524,02:02:00,Metal Loss,23.0,4.8,3.8,2022,,
959.997,03:20:00,Metal Loss,28.0,15.0,7.2,2022,,17.0
1191.788,04:20:00,Metal Loss,13.0,6.1,2.9,2022,,
1193.35,04:27:00,Metal Loss,14.0,3.3,0.9,2022,,
1194.163,04:31:00,Metal Loss,11.0,2.3,1.9,2022,,
1195.889,04:29:00,Metal Loss,13.0,0.7,2.2,2022,,
1196.178,04:24:00,Metal Loss,14.0,0.6,0.7,2022,,
1196.414,04:28:00,Metal Loss,11.0,0.7,1.0,2022,,
1197.336,04:17:00,Metal Loss,11.0,0.6,0.2,2022,,
1197.887,04:19:00,Metal Loss,12.0,10.4,3.1,2022,,
1200.469,05:51:00,Metal Loss,11.0,8.3,1.7,2022,,
1200.607,04:18:00,Metal Loss,12.0,2.6,1.6,2022,,
1201.335,05:54:00,Metal Loss,11.0,1.2,2.6,2022,,
1202.021,05:55:00,Metal Loss,18.0,4.3,2.2,2022,,
1204.603,05:43:00,Metal Loss,13.0,0.5,0.7,2022,,
1207.49,05:48:00,Metal Loss,12.0,0.6,0.9,2022,,
1207.726,05:56:00,Metal Loss,18.0,4.2,3.9,2022,,
1208.248,05:59:00,Metal Loss,14.0,1.0,3.1,2022,,
1208.707,06:01:00,Metal Loss,14.0,9.0,3.3,2022,,
1209.767,05:55:00,Metal Loss,18.0,0.4,1.5,2022,,
1210.246,06:07:00,Metal Loss,12.0,0.5,0.5,2022,,
1210.951,06:07:00,Metal Loss,13.0,5.8,0.9,2022,,
1212.149,05:53:00,Metal Loss,18.0,5.1,2.0,2022,,
1212.887,05:52:00,Metal Loss,14.0,5.6,2.9,2022,,
1213.57,06:00:00,Metal Loss,13.0,9.6,4.3,2022,,
1214.626,06:03:00,Metal Loss,10.0,5.0,3.0,2022,,
1217.598,05:54:00,Metal Loss,11.0,5.0,1.8,2022,,
1218.251,06:05:00,Metal Loss,15.0,1.3,1.4,2022,,
1218.773,05:50:00,Metal Loss,16.0,3.4,2.5,2022,,
1219.623,06:00:00,Metal Loss,15.0,8.9,3.5,2022,,
1220.551,05:46:00,Metal Loss,12.0,0.7,0.2,2022,,
1221.821,05:53:00,Metal Loss,11.0,0.7,0.5,2022,,
1222.119,05:58:00,Metal Loss,14.0,4.3,1.5,2022,,
1223.14,06:04:00,Metal Loss,13.0,6.5,3.0,2022,,
1224.596,06:16:00,Metal Loss,14.0,0.4,0.5,2022,,
1225.246,06:03:00,Metal Loss,11.0,2.9,3.6,2022,,
1225.925,06:07:00,Metal Loss,19.0,0.4,2.8,2022,,
1227.602,06:10:00,Metal Loss,11.0,2.2,2.8,2022,,
1228.986,05:57:00,Metal Loss,11.0,3.5,3.5,2022,,
1241.355,06:24:00,Metal Loss,12.0,1.9,1.3,2022,,
1242.343,06:27:00,Metal Loss,15.0,7.4,3.0,2022,,
1459.432,01:26:00,Metal Loss,13.0,7.2,2.3,2022,,
1463.136,01:00:00,Metal Loss,18.0,6.5,2.2,2022,,
1471.148,01:11:00,Metal Loss,15.0,6.0,1.4,2022,,10.0
1678.927,06:45:00,Metal Loss,18.0,2.2,1.7,2022,,
1679.626,08:01:00,Metal Loss,18.0,3.3,3.2,2022,,
1680.213,07:46:00,Metal Loss,29.0,10.3,5.3,2022,,
1680.709,12:31:00,Metal Loss,22.0,2.3,3.1,2022,,
1680.778,09:30:00,Metal Loss,30.0,1.7,1.5,2022,,
1680.892,06:39:00,Metal Loss,22.0,3.4,2.6,2022,,
1681.184,04:50:00,Metal Loss,22.0,1.4,1.3,2022,,
2103.645,11:39:00,Metal Loss,25.0,1.2,2.1,2022,,
2104.938,11:42:00,Metal Loss,19.0,1.2,1.2,2022,,13.0
2105.118,12:34:00,Metal Loss,19.0,3.0,1.1,2022,,
2105.367,11:44:00,Metal Loss,13.0,1.0,1.3,2022,,
2106.148,11:41:00,Metal Loss,23.0,1.0,1.1,2022,,
2111.266,11:57:00,Metal Loss,19.0,2.0,0.8,2022,,
2113.625,11:57:00,Metal Loss,26.0,1.6,0.5,2022,,14.0
2116.434,12:03:00,Metal Loss,11.0,4.2,1.3,2022,,10.0
2118.222,12:02:00,Metal Loss,19.0,2.0,1.1,2022,,
2118.927,11:54:00,Metal Loss,19.0,1.3,2.4,2022,,10.0
2120.712,11:57:00,Metal Loss,21.0,1.3,1.8,2022,,12.0
2130.22,11:53:00,Metal Loss,13.0,2.3,1.5,2022,,11.0
2130.256,12:58:00,Metal Loss,23.0,8.1,2.4,2022,,10.0
2130.869,11:47:00,Metal Loss,21.0,4.4,2.6,2022,,
2131.486,11:47:00,Metal Loss,30.0,3.3,2.6,2022,,
2132.188,11:56:00,Metal Loss,28.0,0.6,1.1,2022,,
2133.848,11:47:00,Metal Loss,35.0,0.5,0.7,2022,,15.0
2141.998,11:51:00,Metal Loss,17.0,1.2,0.9,2022,,11.0
2142.503,11:48:00,Metal Loss,18.0,4.6,1.5,2022,,12.0
2143.245,11:52:00,Metal Loss,42.0,0.7,0.8,2022,,
2144.606,11:24:00,Metal Loss,25.0,4.8,4.7,2022,,
2150.925,11:29:00,Metal Loss,11.0,5.3,1.7,2022,,10.0
2153.222,11:52:00,Metal Loss,28.0,0.9,0.9,2022,,15.0
2155.052,05:23:00,Metal Loss,23.0,1.0,0.8,2022,,19.0
2155.978,11:33:00,Metal Loss,14.0,0.9,1.2,2022,,
2156.253,11:34:00,Metal Loss,14.0,8.5,2.9,2022,,25.0
2159.675,11:59:00,Metal Loss,15.0,1.9,1.5,2022,,10.0
2159.98,11:28:00,Metal Loss,16.0,1.3,0.9,2022,,17.0
2162.293,11:29:00,Metal Loss,27.0,0.7,0.9,2022,,
2165.869,11:49:00,Metal Loss,42.0,7.7,4.6,2022,,
2174.606,10:12:00,Metal Loss,14.0,2.1,1.0,2022,,12.0
2175.748,11:58:00,Metal Loss,14.0,2.5,1.4,2022,,14.0
2180.295,11:20:00,Metal Loss,19.0,5.0,0.8,2022,,10.0
2183.586,11:42:00,Metal Loss,20.0,1.7,1.6,2022,,10.0
2188.773,04:39:00,Metal Loss,32.0,1.1,0.7,2022,,12.0
2195.65,11:44:00,Metal Loss,26.0,0.7,0.3,2022,,11.0
2198.681,11:32:00,Metal Loss,24.0,0.9,1.1,2022,,12.0
2210.804,05:49:00,Metal Loss,18.0,1.0,1.1,2022,,11.0
2213.691,11:50:00,Metal Loss,11.0,3.9,0.9,2022,,
2215.751,05:49:00,Metal Loss,22.0,0.9,1.1,2022,,12.0
2222.26,05:58:00,Metal Loss,21.0,5.3,1.2,2022,,15.0
2222.917,05:58:00,Metal Loss,14.0,0.9,0.5,2022,,10.0
2223.812,05:58:00,Metal Loss,24.0,1.1,0.8,2022,,10.0
2224.337,05:58:00,Metal Loss,18.0,0.6,0.9,2022,,10.0
2228.32,05:39:00,Metal Loss,14.0,3.2,5.2,2022,,12.0
2228.402,11:33:00,Metal Loss,18.0,22.3,6.9,2022,,12.0
2233.734,05:54:00,Metal Loss,24.0,1.1,1.1,2022,,13.0
2235.787,05:57:00,Metal Loss,26.0,1.4,1.1,2022,,10.0
2240.085,05:58:00,Metal Loss,41.0,0.7,0.7,2022,,17.0
2240.354,04:29:00,Metal Loss,32.0,3.2,1.3,2022,,15.0
2241.824,05:58:00,Metal Loss,30.0,0.9,0.8,2022,,11.0
2242.293,05:57:00,Metal Loss,32.0,1.2,1.0,2022,,16.0
2243.248,04:39:00,Metal Loss,37.0,0.8,0.7,2022,,12.0
2246.115,04:45:00,Metal Loss,52.0,1.3,0.7,2022,,17.0
2255.696,06:05:00,Metal Loss,22.0,15.6,2.2,2022,,11.0
2260.151,06:01:00,Metal Loss,22.0,1.5,0.6,2022,,10.0
2261.995,06:35:00,Metal Loss,26.0,1.0,0.9,2022,,10.0
2264.826,04:48:00,Metal Loss,24.0,10.9,2.2,2022,,13.0
2270.394,05:12:00,Metal Loss,16.0,7.6,1.7,2022,,13.0
2271.26,05:17:00,Metal Loss,27.0,1.2,1.0,2022,,12.0
2271.526,04:34:00,Metal Loss,19.0,5.2,1.0,2022,,10.0
2271.939,05:16:00,Metal Loss,29.0,1.0,0.7,2022,,10.0
2272.552,04:52:00,Metal Loss,19.0,1.5,0.8,2022,,
2276.969,04:56:00,Metal Loss,11.0,5.4,1.5,2022,,
2278.127,06:08:00,Metal Loss,34.0,1.3,0.9,2022,,
2279.085,04:53:00,Metal Loss,19.0,2.2,1.0,2022,,
2281.194,06:15:00,Metal Loss,20.0,2.2,1.2,2022,,
2284.577,04:54:00,Metal Loss,16.0,1.7,1.1,2022,,
2286.739,04:57:00,Metal Loss,21.0,1.7,1.1,2022,,
2295.108,04:57:00,Metal Loss,12.0,6.3,0.9,2022,,
2296.847,05:01:00,Metal Loss,14.0,4.7,2.3,2022,,
2297.976,05:03:00,Metal Loss,29.0,1.9,0.6,2022,,
2302.69,05:35:00,Metal Loss,13.0,1.0,1.2,2022,,13.0
2303.32,05:21:00,Metal Loss,21.0,0.9,0.7,2022,,
2304.518,05:34:00,Metal Loss,16.0,4.3,0.9,2022,,
2305.328,05:34:00,Metal Loss,19.0,2.1,0.9,2022,,10.0
2312.041,05:26:00,Metal Loss,20.0,2.3,0.9,2022,,14.0
2316.404,05:08:00,Metal Loss,35.0,1.0,0.9,2022,,
2317.051,05:21:00,Metal Loss,28.0,5.4,3.8,2022,,
2381.581,06:48:00,Metal Loss,11.0,2.9,0.9,2022,,
2382.211,06:49:00,Metal Loss,13.0,2.4,1.7,2022,,
2384.488,07:03:00,Metal Loss,12.0,13.9,2.5,2022,,
2384.692,04:13:00,Metal Loss,13.0,5.2,1.0,2022,,
2386.447,07:07:00,Metal Loss,10.0,3.5,0.4,2022,,
2389.984,03:53:00,Metal Loss,11.0,14.4,1.1,2022,,
2392.887,03:44:00,Metal Loss,11.0,1.1,0.5,2022,,
2395.131,03:39:00,Metal Loss,11.0,1.1,0.5,2022,,
3163.169,06:09:00,Metal Loss Manufacturing Anomaly,26.0,0.4,0.6,2022,,
3163.461,05:58:00,Metal Loss Manufacturing Anomaly,20.0,0.7,1.1,2022,,
3357.569,07:27:00,Metal Loss,22.0,6.8,5.0,2022,,11.0
3357.828,04:00:00,Metal Loss,30.0,2.1,1.4,2022,,14.0
3415.236,05:55:00,Metal Loss,22.0,3.3,3.1,2022,,
3416.762,05:40:00,Metal Loss,26.0,2.7,3.7,2022,,
3419.108,04:56:00,Metal Loss,20.0,6.3,2.7,2022,,
3438.005,08:44:00,Metal Loss,18.0,1.7,2.4,2022,,
3438.041,07:24:00,Metal Loss,19.0,3.8,5.2,2022,,12.0
3438.225,03:01:00,Metal Loss,22.0,1.5,1.9,2022,,
3438.264,04:36:00,Metal Loss,18.0,3.4,1.5,2022,,
3438.343,05:18:00,Metal Loss,19.0,15.4,13.6,2022,,
3438.701,03:02:00,Metal Loss,23.0,6.3,4.5,2022,,
3438.747,11:59:00,Metal Loss,17.0,2.8,3.8,2022,,
3493.471,12:42:00,Metal Loss,13.0,8.9,1.8,2022,,
3503.865,12:13:00,Metal Loss,13.0,4.8,1.2,2022,,
3927.133,10:16:00,Metal Loss,12.0,6.0,3.1,2022,,
3934.744,10:28:00,Metal Loss,13.0,4.6,2.2,2022,,
4092.566,12:01:00,Metal Loss,22.0,0.7,1.0,2022,,
4093.015,12:02:00,Metal Loss,25.0,0.7,1.2,2022,,
4544.777,06:29:00,Metal Loss,22.0,5.4,8.7,2022,,
4544.888,02:05:00,Metal Loss,25.0,2.2,2.3,2022,,
4544.934,08:05:00,Metal Loss,22.0,1.6,1.7,2022,,
4544.97,03:27:00,Metal Loss,22.0,3.3,4.5,2022,,15.0
4546.637,07:35:00,Metal Loss,11.0,4.3,2.3,2022,,
4546.729,03:33:00,Metal Loss,30.0,2.6,1.9,2022,,
4568.373,06:30:00,Metal Loss,16.0,3.6,2.8,2022,,
4622.789,05:40:00,Metal Loss,36.0,4.2,5.4,2022,,
4625.108,05:26:00,Metal Loss,12.0,3.9,5.2,2022,,
4625.144,06:28:00,Metal Loss,20.0,2.8,2.4,2022,,
4917.359,07:54:00,Metal Loss,16.0,9.1,2.0,2022,,
4919.993,07:57:00,Metal Loss,14.0,9.1,2.7,2022,,
4921.519,07:46:00,Metal Loss,14.0,11.1,3.0,2022,,
4933.458,08:14:00,Metal Loss,13.0,13.7,3.1,2022,,
4985.935,10:41:00,Metal Loss,16.0,6.3,1.4,2022,,
4989.685,10:38:00,Metal Loss,14.0,6.6,1.7,2022,,
4999.331,10:52:00,Metal Loss,12.0,6.5,1.3,2022,,
5050.472,04:58:00,Metal Loss,19.0,1.3,1.8,2022,,
5051.119,04:55:00,Metal Loss,12.0,2.2,2.4,2022,,
5310.472,06:16:00,Metal Loss,33.0,2.9,2.3,2022,,
5311.135,06:38:00,Metal Loss,20.0,3.3,2.2,2022,,
5312.018,05:39:00,Metal Loss,21.0,4.4,1.4,2022,,
5315.315,05:31:00,Metal Loss,13.0,1.5,0.9,2022,,
5315.866,05:28:00,Metal Loss,16.0,1.3,1.2,2022,,
5316.194,05:25:00,Metal Loss,13.0,2.1,1.1,2022,,
5322.31,05:25:00,Metal Loss,11.0,8.3,3.0,2022,,
5324.547,05:34:00,Metal Loss,25.0,3.2,1.5,2022,,
5325.151,05:28:00,Metal Loss,17.0,1.0,3.1,2022,,
5325.469,05:34:00,Metal Loss,37.0,6.9,2.8,2022,,
5326.345,05:28:00,Metal Loss,43.0,2.3,2.3,2022,,
5326.808,05:27:00,Metal Loss,34.0,14.4,3.9,2022,,
5327.192,06:29:00,Metal Loss,23.0,2.2,2.0,2022,,
5327.736,06:26:00,Metal Loss,22.0,5.6,2.0,2022,,
5328.504,06:46:00,Metal Loss,10.0,6.2,2.3,2022,,
5329.268,05:10:00,Metal Loss,16.0,6.8,3.5,2022,,
5330.581,06:15:00,Metal Loss,27.0,22.0,3.9,2022,,
5331.257,05:29:00,Metal Loss,20.0,2.5,1.8,2022,,
5331.657,05:26:00,Metal Loss,27.0,3.5,2.2,2022,,
5332.674,06:24:00,Metal Loss,17.0,2.4,1.9,2022,,
5333.018,05:24:00,Metal Loss,23.0,0.9,1.1,2022,,
5333.35,06:34:00,Metal Loss,35.0,13.9,4.4,2022,,
5333.757,05:18:00,Metal Loss,19.0,2.2,1.0,2022,,
5334.134,05:20:00,Metal Loss,35.0,11.3,2.7,2022,,
5334.993,06:45:00,Metal Loss,28.0,1.9,1.6,2022,,
5335.322,06:43:00,Metal Loss,34.0,2.9,2.1,2022,,
5337.106,07:01:00,Metal Loss,18.0,2.3,2.0,2022,,
5340.784,05:04:00,Metal Loss,16.0,2.2,1.6,2022,,
5341.234,05:09:00,Metal Loss,24.0,2.5,2.0,2022,,
5341.736,05:13:00,Metal Loss,26.0,3.1,3.0,2022,,
5342.349,05:37:00,Metal Loss,20.0,4.3,2.4,2022,,
5342.562,06:42:00,Metal Loss,18.0,1.8,1.9,2022,,
5359.567,05:24:00,Metal Loss,25.0,1.1,1.3,2022,,
5359.918,05:34:00,Metal Loss,15.0,6.8,3.8,2022,,15.0
5360.472,04:26:00,Metal Loss,11.0,4.2,0.9,2022,,
5360.548,01:02:00,Metal Loss,25.0,2.2,2.1,2022,,
5362.575,12:47:00,Metal Loss,18.0,1.6,1.7,2022,,
5362.598,04:09:00,Metal Loss,13.0,1.3,1.0,2022,,32.0
5362.717,02:25:00,Metal Loss,21.0,1.6,1.2,2022,,
5364.567,05:33:00,Metal Loss,25.0,25.0,8.4,2022,,
5364.629,07:00:00,Metal Loss,16.0,2.6,4.0,2022,,29.0
5367.966,06:49:00,Metal Loss,18.0,1.6,1.6,2022,,
5378.737,05:36:00,Metal Loss,24.0,1.9,2.2,2022,,
5379.262,06:55:00,Metal Loss,19.0,2.4,2.1,2022,,
5379.751,07:14:00,Metal Loss,47.0,20.2,10.0,2022,,
5380.43,04:25:00,Metal Loss,49.0,29.8,6.4,2022,,
5381.122,05:52:00,Metal Loss,25.0,24.2,7.4,2022,,
5382.894,07:26:00,Metal Loss,15.0,0.8,0.3,2022,,
5383.077,06:46:00,Metal Loss,17.0,12.1,6.7,2022,,
5383.14,04:13:00,Metal Loss,28.0,4.0,2.8,2022,,
5383.763,06:32:00,Metal Loss,49.0,30.2,16.8,2022,,
5383.98,04:27:00,Metal Loss,19.0,2.0,1.6,2022,,
5440.758,06:20:00,Metal Loss,41.0,1.5,1.3,2022,,
5441.122,06:03:00,Metal Loss,14.0,1.3,2.6,2022,,
5442.562,04:19:00,Metal Loss,16.0,2.1,2.5,2022,,
5442.723,02:55:00,Metal Loss,21.0,2.7,1.7,2022,,
5465.387,07:42:00,Metal Loss,21.0,5.9,3.8,2022,,
5470.443,12:47:00,Metal Loss,12.0,7.2,2.5,2022,,11.0
5475.512,12:13:00,Metal Loss,13.0,5.0,2.2,2022,,
5624.626,07:26:00,Metal Loss,20.0,1.6,2.0,2022,,
5748.593,08:38:00,Metal Loss,13.0,7.8,2.4,2022,,
5751.667,08:33:00,Metal Loss,12.0,3.3,2.0,2022,,
5849.846,07:27:00,Metal Loss,19.0,7.5,7.8,2022,,
5849.993,04:39:00,Metal Loss,40.0,2.2,2.0,2022,,
6493.963,11:26:00,Metal Loss,14.0,2.8,2.2,2022,,
6495.085,11:35:00,Metal Loss,13.0,2.4,3.4,2022,,
6495.495,11:38:00,Metal Loss,10.0,5.4,3.4,2022,,
6549.984,06:25:00,Metal Loss,13.0,5.9,2.3,2022,,
6550.663,06:25:00,Metal Loss,13.0,8.5,2.9,2022,,
6552.031,06:14:00,Metal Loss,16.0,2.9,1.5,2022,,
6567.825,12:13:00,Metal Loss,26.0,6.3,2.0,2022,,
6567.838,05:56:00,Metal Loss,24.0,5.5,1.9,2022,,
6568.862,12:13:00,Metal Loss,17.0,2.9,1.4,2022,,
6569.862,12:13:00,Metal Loss,13.0,4.4,1.5,2022,,
6571.201,12:18:00,Metal Loss,13.0,4.5,2.6,2022,,
6573.474,12:12:00,Metal Loss,14.0,5.9,1.5,2022,,
6576.099,06:03:00,Metal Loss,12.0,4.5,1.4,2022,,
6577.841,12:13:00,Metal Loss,16.0,4.2,1.3,2022,,
6588.264,05:55:00,Metal Loss,10.0,5.5,1.5,2022,,
6689.99,10:02:00,Metal Loss,10.0,5.5,2.8,2022,,
6692.503,10:14:00,Metal Loss,12.0,5.6,2.8,2022,,
6700.144,10:08:00,Metal Loss,20.0,2.0,1.5,2022,,
6806.657,03:06:00,Metal Loss,16.0,1.3,1.7,2022,,
6807.497,03:07:00,Metal Loss,12.0,5.3,2.3,2022,,
6901.368,08:46:00,Metal Loss,10.0,22.4,3.8,2022,,
6904.587,08:52:00,Metal Loss,13.0,2.4,3.1,2022,,
6906.519,08:36:00,Metal Loss,12.0,5.7,2.4,2022,,
6920.423,08:46:00,Metal Loss,11.0,7.9,1.7,2022,,20.0
6947.31,12:10:00,Metal Loss Manufacturing Anomaly,28.0,0.2,1.1,2022,,
6948.586,09:24:00,Metal Loss Manufacturing Anomaly,24.0,0.6,0.9,2022,,
7002.218,05:45:00,Metal Loss,22.0,1.9,1.6,2022,,
7002.867,06:52:00,Metal Loss,12.0,3.9,3.4,2022,,
7002.976,05:14:00,Metal Loss,24.0,3.3,1.8,2022,,
7004.675,05:50:00,Metal Loss,21.0,1.6,1.5,2022,,
7574.219,09:00:00,Metal Loss,12.0,16.9,2.1,2022,,
7637.661,07:09:00,Metal Loss,18.0,1.6,1.4,2022,,19.0
7637.92,04:13:00,Metal Loss,16.0,3.5,1.1,2022,,
7638.025,07:15:00,Metal Loss,19.0,2.6,2.0,2022,,14.0
7638.432,04:00:00,Metal Loss,25.0,12.9,6.0,2022,,
7639.587,06:19:00,Metal Loss,25.0,11.6,4.8,2022,,
7652.343,08:25:00,Metal Loss,30.0,5.9,1.9,2022,,
7653.655,08:28:00,Metal Loss,23.0,1.8,1.8,2022,,
7658.763,07:03:00,Metal Loss,21.0,2.0,1.5,2022,,
7659.537,07:16:00,Metal Loss,25.0,1.3,1.0,2022,,
7660.026,07:03:00,Metal Loss,26.0,3.0,2.0,2022,,
7661.24,07:29:00,Metal Loss,28.0,1.9,2.1,2022,,
7661.785,07:24:00,Metal Loss,24.0,1.4,1.6,2022,,
7662.339,07:37:00,Metal Loss,24.0,1.7,1.7,2022,,
7662.677,09:35:00,Metal Loss,33.0,9.1,3.6,2022,,
7662.72,08:05:00,Metal Loss,28.0,2.6,1.7,2022,,
7663.11,08:12:00,Metal Loss,47.0,5.2,2.6,2022,,
7663.678,09:28:00,Metal Loss,41.0,6.5,1.7,2022,,
7664.131,08:27:00,Metal Loss,50.0,0.7,1.1,2022,,
7664.616,09:09:00,Metal Loss,28.0,6.3,1.8,2022,,
7664.764,08:27:00,Metal Loss,55.0,0.8,1.3,2022,,
7665.007,08:27:00,Metal Loss,47.0,1.0,1.3,2022,,
7665.131,10:02:00,Metal Loss,37.0,10.6,3.5,2022,,
7665.538,08:32:00,Metal Loss,42.0,1.3,1.3,2022,,
7665.686,09:30:00,Metal Loss,27.0,2.8,2.5,2022,,
7666.083,08:35:00,Metal Loss,41.0,1.1,1.9,2022,,
7666.503,10:09:00,Metal Loss,27.0,2.3,1.9,2022,,
7666.617,08:28:00,Metal Loss,39.0,0.9,1.5,2022,,
7667.087,08:32:00,Metal Loss,44.0,1.1,1.4,2022,,
7667.927,08:28:00,Metal Loss,57.0,1.3,1.7,2022,,
7668.55,08:27:00,Metal Loss,37.0,7.1,1.7,2022,,
7669.314,08:26:00,Metal Loss,36.0,6.0,2.5,2022,,
7669.97,07:37:00,Metal Loss,24.0,1.7,1.5,2022,,
7675.869,06:39:00,Metal Loss,31.0,7.3,1.6,2022,,
7677.7,06:44:00,Metal Loss,20.0,3.9,1.8,2022,,
7808.832,05:54:00,Metal Loss,12.0,3.5,3.7,2022,,
7808.986,03:57:00,Metal Loss,19.0,5.5,3.7,2022,,
7809.085,06:52:00,Metal Loss,16.0,3.2,1.6,2022,,
7853.806,04:02:00,Metal Loss,15.0,1.3,1.8,2022,,
7854.649,04:01:00,Metal Loss,25.0,0.7,1.7,2022,,
7873.107,03:55:00,Metal Loss,18.0,7.9,2.0,2022,,
7875.633,03:47:00,Metal Loss,10.0,7.3,2.0,2022,,
7876.493,03:52:00,Metal Loss,16.0,25.6,2.3,2022,,
7881.348,03:51:00,Metal Loss,13.0,8.5,2.6,2022,,
8678.304,05:44:00,Metal Loss,16.0,1.8,2.3,2022,,
8678.363,07:01:00,Metal Loss,23.0,1.7,2.1,2022,,
8678.369,04:49:00,Metal Loss,16.0,2.3,1.9,2022,,
8679.98,04:07:00,Metal Loss,17.0,2.5,2.0,2022,,
8680.069,06:34:00,Metal Loss,26.0,4.5,6.7,2022,,
8757.215,05:13:00,Metal Loss,18.0,4.8,3.7,2022,,
8757.274,07:03:00,Metal Loss,22.0,4.2,2.6,2022,,
8922.91,07:15:00,Metal Loss Manufacturing Anomaly,26.0,0.7,1.4,2022,,
9213.507,07:56:00,Metal Loss,12.0,5.2,1.7,2022,,
9216.224,07:42:00,Metal Loss,12.0,5.1,2.0,2022,,
9218.081,07:45:00,Metal Loss,13.0,7.2,1.7,2022,,
9476.296,01:27:00,Metal Loss,20.0,9.4,4.5,2022,,
9476.594,02:20:00,Metal Loss,16.0,5.2,1.1,2022,,10.0
